table_name,n,n_docket,n_otn
cpcms_alias_data,2643219,767174,741411
cpcms_attorney_data,4031373,1467912,1393788
cpcms_bail_action_data,2161741,1359849,1290947
cpcms_bail_post_data,639361,567379,547990
cpcms_calendar_event_data,10777682,1424597,1350185
cpcms_case_data,1492301,1484536,1409861
cpcms_diversionary_data,205006,75763,75646
cpcms_docket_entry_data,40790548,1484532,1409857
cpcms_financial_data,29194256,1362724,1328896
cpcms_offense_data,3669335,1484439,1409859
cpcms_payment_plan_data,704719,704685,691312
cpcms_sentence_data,4953192,1000447,990233
mdjs_alias_data,2433284,773023,772914
mdjs_attorney_data,1565695,883727,883599
mdjs_bail_action_data,1232986,816364,816322
mdjs_bail_post_data,354719,314324,314313
mdjs_calendar_event_data,3299051,956892,956756
mdjs_case_data,938595,938595,938437
mdjs_docket_entry_data,7734697,967140,966979
mdjs_financial_data,1341327,233807,233774
mdjs_offense_data,2457249,967142,966981
mdjs_payment_plan_data,24093,23918,23914
mdjs_sentence_data,22868,21693,21693
